Dmax,I0_real,I0_real_err,I0_recip,Rg_autorg,Rg_real,Rg_real_err,Rg_recip,estimate,file,status
7.78,15.69,0.07197,15.69,1.29587,3.7,0.007564,3.702,0.1033,sample_3i_P0000-integrate_subtracted.dat,ok
55.16,29.1,4.642,29.09,13.9163,17.13,2.744,16.96,0.6466,sample_3i_R0000-integrate_subtracted.dat,ok
46.43,175.1,2.114,175.1,7.72999,14.11,0.1502,13.9,0.6144,sample_3ii0000-integrate_subtracted.dat,ok
,,,,,,,,,sample_3iii_100000-integrate_subtracted.dat,autorg_failed
59.67,37.79,3.5,37.78,14.6172,19.22,1.181,19.1,0.6232,sample_3iii_20000-integrate_subtracted.dat,ok
70.57,32.81,7.539,32.81,15.4091,18.53,4.354,18.47,0.6089,sample_3iii_50000-integrate_subtracted.dat,ok
4.47,0.006325,4.642e-05,0.006209,1.88291,3.341,0.009491,2.977,0.2523,sample_3j0000-integrate_subtracted.dat,ok
,,,,,,,,,sample_40000-integrate_subtracted.dat,autorg_failed
,,,,,,,,,sample_40min0000-integrate_subtracted.dat,autorg_failed
,,,,,,,,,sample_42G_75CMM0000-integrate_subtracted.dat,autorg_failed
,,,,,,,,,sample_42G_75CMUT0000-integrate_subtracted.dat,autorg_failed
,,,,,,,,,sample_4_20_CIP0000-integrate_subtracted.dat,autorg_failed
,,,,,,,,,sample_4_30_CIP0000-integrate_subtracted.dat,autorg_failed
,,,,,,,,,sample_4_50_CIP0000-integrate_subtracted.dat,autorg_failed
,,,,,,,,,sample_4_5_CIP0000-integrate_subtracted.dat,autorg_failed
50.27,35.21,2.797,35.21,9.41935,16.9,0.8243,16.78,0.6124,sample_4_C1_CIP0000-integrate_subtracted.dat,ok
23.89,92.5,0.4859,92.5,7.20941,7.473,0.04507,7.445,0.6661,sample_4_C2_CIP0000-integrate_subtracted.dat,ok
8.02,22.67,0.3836,22.67,1.40054,4.143,0.02269,4.146,0.1911,sample_4_CDN_10000-integrate_subtracted.dat,ok
,,,,,,,,,sample_4_CDN_100000-integrate_subtracted.dat,autorg_failed
,,,,,,,,,sample_4_EAc0000-integrate_subtracted.dat,autorg_failed
8.7,15.44,0.232,15.44,1.50249,4.421,0.02208,4.425,0.1456,sample_4_EOH0000-integrate_subtracted.dat,ok
,,,,,,,,,sample_4_IPA0000-integrate_subtracted.dat,autorg_failed
,,,,,,,,,sample_4_P_CIP0000-integrate_subtracted.dat,autorg_failed
18.14,48.03,0.4942,48.03,6.43008,6.202,0.05166,6.196,0.8547,sample_4_Tau_8PEG_500NaCl0000-integrate_subtracted.dat,ok
9.8,22.06,0.289,22.06,2.31282,4.575,0.02161,4.578,0.2202,sample_4_Tol0000-integrate_subtracted.dat,ok
3.52,0.002636,1.854e-05,0.002636,1.46875,1.314,0.009255,1.314,0.2476,sample_4j0000-integrate_subtracted.dat,ok
21.43,221.7,1.918,221.7,6.29586,6.463,0.05432,6.427,0.7127,sample_50000-integrate_subtracted.dat,ok
,,,,,,,,,sample_50min0000-integrate_subtracted.dat,autorg_failed
,,,,,,,,,sample_5_Tau_0PEG_0NaCl_0HEPES0000-integrate_subtracted.dat,autorg_failed
8.16,0.01085,9.895e-05,0.01085,3.17245,2.765,0.02384,2.763,0.7969,sample_5k0000-integrate_subtracted.dat,ok
8.59,0.01103,0.0001037,0.01103,2.94499,2.865,0.02493,2.863,0.7445,sample_5kc0000-integrate_subtracted.dat,ok
,,,,,,,,,sample_5min0000-integrate_subtracted.dat,autorg_failed
33.91,61.04,0.6995,61.02,5.64546,9.786,0.1498,9.612,0.6136,sample_5pt10000-integrate_subtracted.dat,ok
,,,,,,,,,sample_5w0000-integrate_subtracted.dat,autorg_failed
12.0,0.009935,0.0001683,0.009935,4.80028,4.215,0.04595,4.212,0.8736,sample_5wc0000-integrate_subtracted.dat,ok
21.08,156.9,1.306,156.9,6.22604,6.605,0.06332,6.564,0.7188,sample_60000-integrate_subtracted.dat,ok
3.85,11.7,0.05618,11.7,1.23244,1.231,0.009032,1.231,0.9024,sample_60_2_0pt60000-integrate_subtracted.dat,ok
48.18,1006.0,33.19,1006.0,11.6612,16.28,0.3015,16.16,0.6112,sample_60_2_10pt80000-integrate_subtracted.dat,ok
3.19,36.53,0.07378,36.53,1.19054,1.201,0.002546,1.201,0.7982,sample_60_2_1pt70000-integrate_subtracted.dat,ok
3.16,47.08,0.1137,47.08,1.14513,1.17,0.002934,1.171,0.9038,sample_60_2_3pt10000-integrate_subtracted.dat,ok
3.53,114.8,0.1003,114.8,1.17567,1.276,0.0013,1.276,0.581,sample_60_2_6pt90000-integrate_subtracted.dat,ok
,,,,,,,,,sample_60min0000-integrate_subtracted.dat,autorg_failed
12.15,0.07058,0.000303,0.07058,3.62533,3.799,0.02191,3.793,0.775,sample_620000-integrate_subtracted.dat,ok
11.93,0.05107,0.0001926,0.05107,3.78902,3.681,0.01795,3.675,0.7615,sample_630000-integrate_subtracted.dat,ok
11.2,0.03542,0.0002025,0.03542,3.55708,3.603,0.0226,3.599,0.8541,sample_640000-integrate_subtracted.dat,ok
11.51,0.05891,0.0002399,0.05891,3.54068,3.644,0.01834,3.639,0.8223,sample_650000-integrate_subtracted.dat,ok
10.58,0.03842,0.0001778,0.03842,3.23122,3.203,0.02172,3.201,0.9286,sample_660000-integrate_subtracted.dat,ok
9.89,0.02429,0.0001933,0.02429,3.18988,3.131,0.02908,3.13,0.9491,sample_670000-integrate_subtracted.dat,ok
,,,,,,,,,sample_70000-integrate_subtracted.dat,autorg_failed
10.66,0.0199,0.0001578,0.0199,4.14512,2.592,0.05301,2.553,0.2994,sample_70POPCd31_30DOPE0000-integrate_subtracted.dat,ok
,,,,,,,,,sample_75CMUT0000-integrate_subtracted.dat,autorg_failed
,,,,,,,,,sample_75GMUT0000-integrate_subtracted.dat,autorg_failed
13.74,187.3,0.516,187.3,4.22775,4.327,0.0147,4.321,0.7922,sample_75GMUT_75CMM0000-integrate_subtracted.dat,ok
16.23,174.7,0.6567,174.7,5.41148,5.43,0.0208,5.414,0.7229,sample_75GMUT_75CMM_pH70000-integrate_subtracted.dat,ok
31.62,185.9,2.029,185.9,5.30447,5.699,0.23,5.685,0.6882,sample_75GMUT_75CMUT0000-integrate_subtracted.dat,ok
,,,,,,,,,sample_75G_42C0000-integrate_subtracted.dat,autorg_failed
29.77,175.6,2.15,175.6,6.07809,6.946,0.1708,6.887,0.6669,sample_75G_75C0000-integrate_subtracted.dat,ok
22.59,171.5,1.14,171.5,4.60477,5.379,0.06733,5.332,0.642,sample_75G_75CMM0000-integrate_subtracted.dat,ok
24.95,182.6,1.378,182.6,5.11759,5.799,0.09394,5.761,0.6236,sample_75G_75CMUT0000-integrate_subtracted.dat,ok
29.12,173.8,1.661,173.8,5.17668,6.169,0.1453,6.118,0.6782,sample_75G_75CMUT_Li0000-integrate_subtracted.dat,ok
66.41,0.05457,0.02211,0.05457,12.7434,23.62,5.226,23.6,0.6513,sample_760000-integrate_subtracted.dat,ok
25.12,0.1001,0.0007283,0.1001,4.17894,5.269,0.1066,5.198,0.6816,sample_770000-integrate_subtracted.dat,ok
17.69,0.08721,0.0003495,0.0872,3.74644,4.672,0.03613,4.643,0.6509,sample_780000-integrate_subtracted.dat,ok
12.62,0.06695,0.0003348,0.06695,4.05044,3.986,0.02193,3.979,0.7682,sample_790000-integrate_subtracted.dat,ok
32.63,19.83,2.925,19.83,10.5213,2.747,3.933,2.391,0.5785,sample_7_80000-integrate_subtracted.dat,ok
9.0,36.64,0.3411,36.64,2.62488,4.431,0.01188,4.434,0.18,sample_7_CDN_10000-integrate_subtracted.dat,ok
,,,,,,,,,sample_7_CDN_100000-integrate_subtracted.dat,autorg_failed
7.04,27.87,0.2116,27.87,1.1728,3.778,0.009077,3.781,0.0971,sample_7_EtOAc0000-integrate_subtracted.dat,ok
,,,,,,,,,sample_7_Ethanol0000-integrate_subtracted.dat,autorg_failed
,,,,,,,,,sample_7_IPA0000-integrate_subtracted.dat,autorg_failed
3.14,31.19,0.2528,32.55,1.26625,2.792,0.008966,16.18,0.3031,sample_7_Tol0000-integrate_subtracted.dat,ok
75.12,499.8,46.04,499.8,15.9435,27.51,0.8495,27.55,0.9145,sample_80000-integrate_subtracted.dat,ok
13.86,0.04677,0.0002327,0.04677,3.99339,4.151,0.02634,4.141,0.6938,sample_800000-integrate_subtracted.dat,ok
21.71,0.2832,0.0007598,0.2831,5.82522,6.055,0.02472,6.014,0.7043,sample_810000-integrate_subtracted.dat,ok
32.42,0.2579,0.001702,0.2579,5.77878,6.617,0.1189,6.558,0.6822,sample_820000-integrate_subtracted.dat,ok
19.53,0.204,0.0007707,0.204,5.69782,5.824,0.02553,5.8,0.6971,sample_830000-integrate_subtracted.dat,ok
20.61,0.1386,0.0007085,0.1386,5.70993,5.937,0.04208,5.904,0.7352,sample_840000-integrate_subtracted.dat,ok
12.47,0.07641,0.0002176,0.07641,3.81022,3.783,0.0133,3.777,0.8134,sample_850000-integrate_subtracted.dat,ok
23.91,0.07369,0.0005048,0.07368,3.98011,5.04,0.09246,4.97,0.6746,sample_860000-integrate_subtracted.dat,ok
11.85,0.05291,0.0002025,0.05291,3.98185,3.741,0.01868,3.737,0.8448,sample_870000-integrate_subtracted.dat,ok
,,,,,,,,,sample_880000-integrate_subtracted.dat,autorg_failed
28.3,0.2583,0.001099,0.2583,5.61692,6.33,0.06259,6.281,0.6917,sample_890000-integrate_subtracted.dat,ok
6.92,15.28,0.2575,15.28,1.25383,3.537,0.02019,3.538,0.1265,sample_8_CDN_10000-integrate_subtracted.dat,ok
,,,,,,,,,sample_8_CDN_100000-integrate_subtracted.dat,autorg_failed
,,,,,,,,,sample_8_EAc0000-integrate_subtracted.dat,autorg_failed
,,,,,,,,,sample_8_EOH0000-integrate_subtracted.dat,autorg_failed
,,,,,,,,,sample_8_IPA0000-integrate_subtracted.dat,autorg_failed
,,,,,,,,,sample_8_Tol0000-integrate_subtracted.dat,autorg_failed
16.28,91.17,0.7396,91.17,5.02428,5.146,0.04165,5.125,0.6988,sample_90000-integrate_subtracted.dat,ok
20.13,0.2185,0.0006303,0.2185,5.79111,5.848,0.02099,5.819,0.7432,sample_900000-integrate_subtracted.dat,ok
20.3,0.1903,0.0006489,0.1903,5.75514,5.891,0.03059,5.859,0.657,sample_910000-integrate_subtracted.dat,ok
27.51,0.1338,0.001272,0.1337,5.59847,6.447,0.1409,6.386,0.6786,sample_920000-integrate_subtracted.dat,ok
7.63,0.0112,8.41e-05,0.0112,2.63082,2.605,0.0183,2.604,0.8097,sample_930000-integrate_subtracted.dat,ok
,,,,,,,,,sample_940000-integrate_subtracted.dat,autorg_failed
7.21,0.008168,0.0001085,0.008168,2.72062,2.534,0.02832,2.533,0.8131,sample_950000-integrate_subtracted.dat,ok
7.54,0.005553,6.736e-05,0.005553,3.08314,2.633,0.02907,2.631,0.7739,sample_960000-integrate_subtracted.dat,ok
41.11,0.4319,0.00499,0.4318,10.5047,13.01,0.1153,12.91,0.7831,sample_970000-integrate_subtracted.dat,ok
36.24,0.1522,0.003215,0.1522,10.97,12.06,0.1665,11.98,0.8073,sample_980000-integrate_subtracted.dat,ok
27.41,0.02013,0.000769,0.02013,10.6595,9.759,0.2403,9.719,0.8625,sample_990000-integrate_subtracted.dat,ok
24.62,2294.0,4.28,2293.0,7.18196,7.236,0.01644,7.214,0.81,sample_A00000-integrate_subtracted.dat,ok
25.99,1079.0,2.6,1079.0,7.27613,7.351,0.02216,7.325,0.8102,sample_A0_20000-integrate_subtracted.dat,ok
25.57,590.6,2.781,590.6,7.28622,7.405,0.04249,7.375,0.7243,sample_A0_40000-integrate_subtracted.dat,ok
16.02,0.08983,0.0002024,0.08983,5.01156,5.111,0.01296,5.11,0.9381,sample_A10000-integrate_subtracted.dat,ok
,,,,,,,,,sample_A100000-integrate_subtracted.dat,autorg_failed
,,,,,,,,,sample_A110000-integrate_subtracted.dat,autorg_failed
,,,,,,,,,sample_A120000-integrate_subtracted.dat,autorg_failed
,,,,,,,,,sample_A130000-integrate_subtracted.dat,autorg_failed
7.95,0.03012,0.0001136,0.03012,2.96871,2.854,0.01025,2.853,0.5853,sample_A140000-integrate_subtracted.dat,ok
3.84,0.003064,3.873e-05,0.003064,1.80863,1.16,0.02851,1.159,0.392,sample_A150000-integrate_subtracted.dat,ok
7.63,0.1033,0.0001342,0.1033,2.90619,2.776,0.002487,2.775,0.5686,sample_A170000-integrate_subtracted.dat,ok
6.24,0.05971,9.332e-05,0.05971,2.25002,2.248,0.002978,2.248,0.4486,sample_A180000-integrate_subtracted.dat,ok
22.51,0.03238,0.00057,0.03237,4.96011,7.455,0.1329,7.371,0.6111,sample_A190000-integrate_subtracted.dat,ok
23.27,381.0,1.447,380.9,7.29362,7.315,0.02924,7.276,0.802,sample_A1_20000-integrate_subtracted.dat,ok
24.37,200.5,1.168,200.5,8.04112,7.672,0.04523,7.625,0.7848,sample_A1_40000-integrate_subtracted.dat,ok
24.87,964.6,2.249,964.5,7.08779,7.296,0.02128,7.254,0.7566,sample_A1_high0000-integrate_subtracted.dat,ok
16.85,0.1856,0.0003209,0.1856,4.88796,4.925,0.01332,4.925,0.7769,sample_A20000-integrate_subtracted.dat,ok
,,,,,,,,,sample_A200000-integrate_subtracted.dat,autorg_failed
,,,,,,,,,sample_A210000-integrate_subtracted.dat,autorg_failed
,,,,,,,,,sample_A220000-integrate_subtracted.dat,autorg_failed
