Dmax_est,Dmax_true,Rg_guinier,Rg_true,dmax_over_rg,in_window,method,nchannel_max,noise,params,rel_err,rg_gui_err,seed,shape,time_ms,x_converged,x_nmax,x_nsol,x_rg_nn,x_sigma
4.811369842344944,4.0,1.6037899474483146,1.54919333851277,2.581988897421939,False,three_rg,5,0.05,,0.202842460586236,0.03524195952711585,2,sphere,0.001567997969686985,,,,,
5.4727736340039925,4.0,1.5990239351376925,1.54919333851277,2.581988897421939,True,shannon,5,0.1,,0.36819340850099813,0.032165511809365194,0,sphere,16.579326998908073,True,6,7,,0.0
4.353749679000391,4.0,1.5990239351376925,1.54919333851277,2.581988897421939,True,shannon_ex,5,0.1,,0.08843741975009767,0.032165511809365194,0,sphere,17.03780399839161,True,5,3,,0.012909944487606406
5.027086629740618,4.0,1.5990239351376925,1.54919333851277,2.581988897421939,True,dnn,5,0.1,,0.2567716574351544,0.032165511809365194,0,sphere,0.21575999562628567,,,,1.5240883714262663,
4.797071805413077,4.0,1.5990239351376925,1.54919333851277,2.581988897421939,True,three_rg,5,0.1,,0.19926795135326936,0.032165511809365194,0,sphere,0.0019350045477040112,,,,,
4.816346488059055,4.0,1.5953449778267859,1.54919333851277,2.581988897421939,True,shannon,5,0.1,,0.20408662201476369,0.029790755076652655,1,sphere,18.971653997141402,False,6,0,,0.671640235665067
4.5447135778610654,4.0,1.5953449778267859,1.54919333851277,2.581988897421939,True,shannon_ex,5,0.1,,0.13617839446526636,0.029790755076652655,1,sphere,18.14447299693711,True,5,5,,0.006816450689456577
5.017435539555048,4.0,1.5953449778267859,1.54919333851277,2.581988897421939,True,dnn,5,0.1,,0.2543588848887619,0.029790755076652655,1,sphere,0.19768899801420048,,,,1.5234513700329793,
4.786034933480358,4.0,1.5953449778267859,1.54919333851277,2.581988897421939,True,three_rg,5,0.1,,0.19650873337008945,0.029790755076652655,1,sphere,0.001209999027196318,,,,,
5.459726823199567,4.0,1.5912931574466902,1.54919333851277,2.581988897421939,True,shannon,5,0.1,,0.36493170579989176,0.027175316267713922,2,sphere,16.77966199349612,True,6,6,,0.004243448419857021
