Dmax_bift,Dmax_bift_err,I0_gui,Rg_bift,Rg_dnn,Rg_gui,chi2,dmax_over_rg,dnn,file,knee,logP,qmin_Rg,shannon,three_rg
11.75,0.0,0.019190742562901285,4.63,13.609433762656694,2.378937472041785,7.01,2.537796976241901,46.5926920771494,sample_1R3a0000-integrate_subtracted.dat,3.281506348934438,-3238.81,0.3943035969804238,6.074616834858707,7.1368124161253546
2.72,0.01,0.002816176089590931,1.05,13.426343741852387,1.17902522013415,0.89,2.5904761904761906,45.69244210763787,sample_1R3b0000-integrate_subtracted.dat,1.6263473886530464,-429.87,0.08942090212299028,2.964069403417254,3.53707566040245
6.68,0.0,0.0020157023916798507,2.73,13.224817744046229,1.3025543685843943,1.78,2.4468864468864466,44.933802188380845,sample_1R3c0000-integrate_subtracted.dat,1.7967434960253135,-831.41,0.23249434551977471,3.6888339718309684,3.907663105753183
5.84,0.0,0.011057241729769933,2.26,11.790061810928494,1.3401088690538583,4.04,2.584070796460177,42.04070421576973,sample_1R3h0000-integrate_subtracted.dat,1.848546173972892,-1929.93,0.19246784647424572,3.363864705449335,4.020326607161575
4.69,0.01,0.02080019126143556,2.16,12.470372679340779,1.0390980094403317,52.56,2.1712962962962963,39.52302679146767,sample_1R3k0000-integrate_subtracted.dat,1.4333317942219934,-24291.11,0.18395157008158,3.2731587297370592,3.117294028320995
1.34,0.0,0.013402963296875847,0.39,13.561565389289362,1.0632767781618657,18.31,3.435897435897436,41.714233180853356,sample_1R3l0000-integrate_subtracted.dat,1.4666839877964775,-8316.97,0.03321347793139639,3.300411119414367,3.189830334485597
17.21,0.45,12.459694464548548,5.5,5.897747240844765,6.957368341892478,1.03,3.1290909090909094,19.245069201419412,sample_1_00000-integrate_subtracted.dat,16.834726783456222,-506.59,0.33909324386627404,22.30532290410693,20.872105025677435
55.78,0.38,305.2707769226286,16.54,14.894921518634263,14.223394513165973,1.0,3.372430471584039,55.03543333987442,sample_1_0pt50000-integrate_subtracted.dat,39.32124974288639,-535.22,1.0197458642814858,43.85072528409098,42.67018353949792
53.97,0.23,330.2634404852,16.58,14.49881995549204,14.569841166991706,1.02,3.2551266586248495,54.04181872749289,sample_1_10000-integrate_subtracted.dat,41.2001597567844,-548.37,1.0222119969641497,45.38019862145694,43.709523500975116
52.07,0.07,13.36146121729605,16.5,15.051910207179777,2.3763493889648433,0.94,3.1557575757575758,54.028459681709926,sample_1_100000-integrate_subtracted.dat,3.2779363471381044,-568.19,1.017279731598822,6.026422050414841,7.129048166894529
46.21,0.14,184.31928094354595,14.4,14.273164695794234,10.143561648496451,0.9,3.2090277777777776,50.735935446403,sample_1_150000-integrate_subtracted.dat,17.023635207822096,-548.93,0.887807765758972,31.189761475518218,30.430684945489354
53.66,0.27,438.65809178520897,16.66,14.854430389187964,16.851531886717176,1.07,3.2208883553421366,55.36762732883792,sample_1_20000-integrate_subtracted.dat,23.24500308453767,-577.89,1.0271442623294773,51.61624216901552,50.55459566015153
53.86,0.2,359.6261994678041,16.93,15.031860956146268,14.323679693562903,0.89,3.1813349084465448,53.918637836250504,sample_1_200000-integrate_subtracted.dat,39.02221544436923,-548.71,1.043790657937458,42.78483124467323,42.97103908068871
45.04,0.2,162.45415264705477,12.94,13.073961975816404,10.046118288986232,0.82,3.480680061823802,48.75956963893167,sample_1_250000-integrate_subtracted.dat,23.384726270709102,-508.19,0.7977939228417429,32.54942325631567,30.138354866958696
64.48,0.32,415.66185881554696,19.19,16.18575815985544,15.970520314941403,1.05,3.3600833767587286,58.34148216405371,sample_1_30000-integrate_subtracted.dat,30.015514921811125,-537.2,1.1831271545079634,47.039570535628116,47.91156094482421
52.02,0.66,374.9358119151322,16.1,14.91536410669912,15.129080836837241,0.95,3.231055900621118,53.48370614660325,sample_1_300000-integrate_subtracted.dat,35.216528804437445,-572.37,0.992618404772184,46.943016323232314,45.387242510511726
51.37,0.24,336.1835057926417,15.7,14.40555980200695,17.525962078192876,0.91,3.2719745222929935,51.88520052110473,sample_1_40000-integrate_subtracted.dat,24.17531209065925,-541.72,0.9679570779455458,54.64594975980499,52.57788623457863
55.42,0.3,401.66445596831585,17.27,15.843770227771676,16.410424466133392,1.13,3.2090330052113494,57.35967280771895,sample_1_400000-integrate_subtracted.dat,22.6365395085844,-612.72,1.0647527857401005,55.07338450834404,49.23127339840018
51.65,0.19,352.9003063504969,16.43,15.208787088876917,15.077757841713442,1.0,3.143639683505782,55.193659731164175,sample_1_50000-integrate_subtracted.dat,42.289793639281015,-589.25,1.0129639994041604,46.13793899564273,45.233273525140326
50.04,0.12,414.7178174628714,16.14,15.51542743413631,15.447252664117947,1.1,3.100371747211896,54.99946275552283,sample_1_500000-integrate_subtracted.dat,36.31228163699026,-623.04,0.9950845374548478,47.029160735906665,46.34175799235384
51.93,0.19,396.9136817119472,16.43,14.943148026712784,14.901478852235497,0.9,3.160681679853926,53.417507033660286,sample_1_600000-integrate_subtracted.dat,41.19584610725091,-579.35,1.0129639994041604,46.4002248500902,44.70443655670649
22.46,0.45,75.50431310373297,6.92,16.499668654473076,5.956166760177609,0.92,3.2456647398843934,57.95016605585074,sample_1_Tau_0PEG_0NaCl0000-integrate_subtracted.dat,14.20672340846022,-434.63,0.377989543265891,18.958478797645267,17.868500280532828
2.98,0.01,0.006044002455082138,1.15,12.320236233550153,1.2941459643356927,6.58,2.591304347826087,39.18798056575323,sample_1j0000-integrate_subtracted.dat,2.283497906515949,-2993.44,0.097937178515656,3.369956091130138,3.8824378930070784
8.16,0.02,52.68754828388202,2.29,2.3493474843482525,2.187934235410597,1.08,3.5633187772925763,8.242582098123663,sample_20000-integrate_subtracted.dat,6.891183305876311,-536.24,0.19502272939204546,6.364700690809398,6.563802706231791
27.74,0.28,712.3375022809256,7.11,7.085232970390813,6.4543712017801615,0.95,3.9015471167369897,30.31631146176876,sample_20S_AmnSul0000-integrate_subtracted.dat,12.983774468781016,-458.75,0.6055072515185341,18.595043432328644,19.363113605340484
24.5,0.54,421.05159064796385,6.95,6.986867953851813,6.73157966282371,0.82,3.5251798561151078,28.280600981021017,sample_20S_AmnSul_20000-integrate_subtracted.dat,16.75266353053021,-412.58,0.591881209290269,21.51412860238401,20.19473898847113
16.12,0.61,6.557713599366913,6.81,14.595159078139645,2.7203963025817868,0.89,2.367107195301028,47.33664130285493,sample_20min0000-integrate_subtracted.dat,6.660713521111882,-413.89,0.5799584223405368,6.901645419649998,8.16118890774536
23.72,0.32,125.1889659032923,4.83,1.951739447155223,6.444130957940096,0.92,4.910973084886128,6.782005983055422,sample_240_2_1pt50000-integrate_subtracted.dat,36.630228611272244,-449.06,0.4113361497657553,20.524557101038944,19.332392873820286
22.63,0.1,38.73143423151926,8.76,16.518116060539423,9.229598015387943,3.58,2.5833333333333335,58.120697298058694,sample_25min0000-integrate_subtracted.dat,13.314825762953983,-1635.85,0.7460258119975188,28.713279425871807,27.688794046163828
7.62,0.49,15.403794871397388,2.53,18.77218303887697,2.4011454380582986,0.97,3.011857707509882,59.21108983833531,sample_29_No_heat0000-integrate_subtracted.dat,3.312140017257617,-447.77,0.2154617927344432,8.024628053990886,7.203436314174896
8.59,0.73,6.662808923933126,2.96,3.536326055428157,2.258422356561727,0.89,2.902027027027027,11.681353802808587,sample_29_No_heat_00020000-integrate_subtracted.dat,3.8162030533355136,-407.74,0.2520817812229059,6.698480709562022,6.7752670696851816
3.73,0.23,10.40710057000205,1.18,16.85499147411086,9.525735313563846,0.81,3.1610169491525424,53.71300647086705,sample_29_No_heat_00030000-integrate_subtracted.dat,19.709698937295055,-372.55,0.10049206143345574,24.357305196782804,28.577205940691538
8.73,0.95,15.635573313354595,2.85,14.778399126682084,3.482360475763312,0.99,3.0631578947368423,49.39825707070241,sample_29_heating0000-integrate_subtracted.dat,6.644935789037303,-454.49,0.24271387719097362,10.882376486760156,10.447081427289937
5.16,0.24,7.793062341339643,1.51,1.9079689628499712,1.168515873685651,0.75,3.4172185430463577,7.6171673730893135,sample_29_heating_00020000-integrate_subtracted.dat,5.151206502734345,-347.83,0.1285957735292527,3.3816849384462557,3.5055476210569525
